occur customer;10:11;618844616;352
around;5:31;942423295;40
pay five;3:32;73021107;715
respond;9:59;151709906;935
foot executive;5:51;985806500;390
drive;4:9;173618537;796
girl reflect;6:50;593472321;363
up;2:22;280077904;367
parent;8:23;59629690;928
college;6:9;639186010;683
responsibility project;1:33;904034803;600
source;6:57;572636395;195
your;7:42;93994457;169
type suddenly;8:33;585306183;504
everybody what;10:8;39283844;154
poor everybody;6:58;462034070;252
simple key;5:49;526304893;818
hit;4:54;75233266;132
mission;10:23;505692567;486
result part;10:24;132063151;707
Democrat;1:34;531965528;521
sister career;8:12;809751367;661
theory;2:45;784171858;140
themselves management;4:53;269686580;867
several also;7:19;376756672;443
agency every;8:57;42913902;322
leg;4:11;315009042;879
right;10:9;954918499;768
similar movie;4:10;827508213;660
which now;4:3;241965476;421
day;8:52;877567853;724
trip;1:1;155794928;65
analysis;7:29;274732416;619
organization;3:55;374665690;585
miss;0:2;494930421;67
doctor whatever;1:12;293348927;633
leave;10:35;479296688;132
however;7:18;398042843;296
seat certain;1:3;404640957;848
most;7:59;797853061;648
wind avoid;3:10;573714118;595
manage data;3:9;225815820;946
game less;2:57;323342553;79
expect per;5:48;448015114;458
society;7:29;724202110;98
day;2:4;227407855;114
experience;5:16;20306399;760
pressure themselves;6:30;921131653;872
behavior;9:1;565916054;519
effect;8:43;676347134;274
with base;4:23;497082952;763
indicate;3:25;211408605;708
whole him;1:22;976777147;658
little;9:21;520527923;989
phone poor;7:47;326332126;257
respond he;1:50;88830423;962
war;3:33;635385899;608
lay;8:56;221855772;804
listen course;9:46;835358694;972
throw;5:37;456800866;785
buy dog;2:54;932643782;782
activity;0:28;797160711;792
lead individual;5:55;376732542;662
with character;6:28;578926362;554
during create;8:43;751156939;265
represent;1:23;660186221;636
song;1:38;508304875;321
laugh;6:21;800888041;594
cover;5:35;143801560;827
pay;6:37;167015628;947
president try;3:54;265550716;938
animal let;0:9;778805181;430
discuss;0:5;875241687;723
card;10:37;520550891;835
with fall;1:28;30224734;230
include;4:58;891707519;930
single;3:48;799287524;141
main difficult;2:27;618210630;772
various about;2:50;373595567;329
want medical;10:48;812405532;5
probably morning;0:49;634303687;494
life go;1:9;198248151;33
through;2:50;539806846;504
single behind;0:13;998168360;43
officer;8:5;937254841;226
create without;9:50;279635652;8
answer where;1:8;827972620;514
town still;5:7;851986757;455
candidate;1:46;880602133;785
its bed;5:17;327068573;927
subject;7:19;178418901;600
same;8:0;489919163;179
shoulder million;3:4;720565525;197
agency;5:59;415752237;559
hard;3:3;217572903;851
power;5:47;420753721;882
everyone answer;2:13;91646765;402
happy;10:38;719083881;673
page;3:13;203868480;688
fight;2:56;505137788;682
upon without;2:1;960862165;84
